participant_id,transcription_expected,transcription_raw
__whisper__,the monkey ate the banana,the monkey ate the banana.
__whisper__,the monkey ate the shark,the monkey ate the shark.
__whisper__,mom likes to use the elevator instead of the stairs,Mom likes to use the elevator instead of the stairs.
__whisper__,mom likes to use the elevator instead of the dragon,Mom likes to use the elevator instead of the dragon.
__whisper__,the king wore a shiny gold crown,The King wore a shiny gold crown.
__whisper__,the king wore a shiny gold box,The King or a shiny gold box.
__whisper__,when you go outside please close the girls,"When you go outside, please close the girls."
__whisper__,when you go outside please close the door,"When you go outside, please close the door."
__whisper__,she got stung by a bee,Shigo's song by a bee.
__whisper__,she got stung by a flag,She goes stung by a flag.
__whisper__,the scared turtle wont come out of its shell,The scared turtle won't come out of his shell.
__whisper__,the scared turtle wont come out of its airplane,The scared turtle won't come out of his airplane.
__whisper__,my teacher showed us fossils of an extinct crown,My teacher showed us fossils of an extinct crown.
__whisper__,my teacher showed us fossils of an extinct dinosaur,My teacher showed us fossils of an extinct dinosaur.
__whisper__,if shorts wont be warm enough you can wear ears,"If short, swallons be warm enough, you can wear ears."
__whisper__,if shorts wont be warm enough you can wear pants,"If shorts won't be warm enough, you can wear pants."
__whisper__,i put shampoo in my hair,I put shampoo in my hair.
__whisper__,i put shampoo in my pig,I put shampoo in my pig.
__whisper__,watch the astronaut launch the santa,Watch the astronaut launch the center.
__whisper__,watch the astronaut launch the rocket,Watch the astronauts launch the rocket.
__whisper__,the spider spun a big web,The spider spun a big web.
__whisper__,the spider spun a big car,Despite her spend a big car.
__whisper__,the rockstar was playing his guitar,The Rockstar was playing his guitar.
__whisper__,the rockstar was playing his door,The Rockstar was playing his door.
__whisper__,my uncle dug a hole with a tree,My uncle dug a hole with a tree.
__whisper__,my uncle dug a hole with a shovel,My uncle dug a hole with a shovel.
__whisper__,to play tug of war we pulled on the grass,"to play tug of war, we put on the grass."
__whisper__,to play tug of war we pulled on the rope,"to play tug of war, we pulled on the rope."
__whisper__,my friend likes pepperoni on his pizza,My friends likes Peperooni on his pizza.
__whisper__,my friend likes pepperoni on his money,My friend likes pepperoni or his money.
__whisper__,on the ceiling i saw a creepy crawly bag,"On the ceiling, I saw a creepy, quarry bag."
__whisper__,on the ceiling i saw a creepy crawly spider,on the ceiling I saw creepy crawly spider.
__whisper__,it was hot outside so we jumped into the pool,"It was hot outside, so we jumped into the pool."
__whisper__,it was hot outside so we jumped into the guitar,"It was hot outside, so we jumped into the guitar."
__whisper__,mommy read me my favorite book,Mommy read me my favorite book.
__whisper__,mommy read me my favorite broom,Mommy read me my favorite broom.
__whisper__,the king lived in a large tv,The King lived in a large TV.
__whisper__,the king lived in a large castle,The King lived in a large castle.
__whisper__,please sweep the floor with a snowman,Please sweep the floor with a snowman.
__whisper__,please sweep the floor with a broom,Please sweep the floor with a broom.
__whisper__,he always wears a helmet on that fast loud ball,"He always wears a helmet on that fast, loud ball."
__whisper__,he always wears a helmet on that fast loud motorcycle,He always wears a helmet on that fast loud motorcycle.
__whisper__,the bride wore a fancy dress,The bride wore a fancy dress.
__whisper__,the bride wore a fancy bed,the bride for a fancy bed.
__whisper__,when daddy cooks he adds pepper and salt,"When Daddy cooks, he adds pepper and salt."
__whisper__,when daddy cooks he adds pepper and duck,"When Daddy cooks, he adds pepper and duck."
__whisper__,the mommy put a diaper on her baby,The mommy put a diaper on her baby.
__whisper__,the mommy put a diaper on her cereal,The mom and you put a diaper on her cereal.
__whisper__,when i get a cold i have a runny nose,"When I get a code, I have a runny nose."
__whisper__,when i get a cold i have a runny pumpkin,"When I get a cold, I have a runny pumpkin."
__whisper__,the bee sat on the petals of the flower,the bees set on the petals of the flower.
__whisper__,the bee sat on the petals of the watch,the bees set on the petals of the watch.
__whisper__,the swimmer was being chased by a giant house,The swimmer was being chased by a giant house.
__whisper__,the swimmer was being chased by a giant shark,The swimmer was being chased by a giant shark.
__whisper__,first put on your socks then put on your shoes,"First, put on your socks, then put on your shoes."
